XiangQi family;Littera Chinese Chess;xiangqi/litter-chess.htm;;litter-chess;
XiangQi family;Passive Chess;xiangqi/passive-chess.htm;;passive-chess;
Chess family;Crazy Tile Chess;checkmate/tile-chess.htm;;tile-chess;
