Shogi family;Migi Shogi;shogi/migi-shogi.htm;;migi-shogi;2025 Oleg Makarenko
Shogi family;Hidari Shogi;shogi/hidari-shogi-board.htm;;hidari-shogi;2025 Oleg Makarenko
