LightOff puzzles;;light-off/4x4-wazir-random.htm;;lights-off-wazir-4;
LightOff puzzles;;light-off/4x4-rook-random.htm;;lights-off-rook-4;
LightOff puzzles;;light-off/4x4-fers-random.htm;;lights-off-fers-4;
LightOff puzzles;;light-off/4x4-bishop-random.htm;;lights-off-bishop-4;
LightOff puzzles;;light-off/4x4-king-random.htm;;lights-off-king-4;
LightOff puzzles;;light-off/4x4-queen-random.htm;;lights-off-queen-4;
LightOff puzzles;;light-off/4x4-knight-random.htm;;lights-off-knight-4;
LightOff puzzles;;light-off/5x5-wazir-random.htm;;lights-off-wazir-5;
LightOff puzzles;;light-off/5x5-rook-random.htm;;lights-off-rook-5;
LightOff puzzles;;light-off/5x5-fers-random.htm;;lights-off-fers-5;
LightOff puzzles;;light-off/5x5-bishop-random.htm;;lights-off-bishop-5;
LightOff puzzles;;light-off/5x5-king-random.htm;;lights-off-king-5;
LightOff puzzles;;light-off/5x5-queen-random.htm;;lights-off-queen-5;
LightOff puzzles;;light-off/5x5-knight-random.htm;;lights-off-knight-5;
LightOff puzzles;;index-map-hexlightoff.html;;hex-lights-off;
