SMESS;SMESS;xiangqi/smess.htm;https://www.chessvariants.com/other.dir/smess.html;smess;1970 Parker Brothers
XiangQi family;Storm the Ivory Tower;xiangqi/ivory.htm;https://www.chessvariants.com/large.dir/ivorytower.html;ivory-1;2003 Fergus Duniho
Janggi family;Storm the Ivory Tower;xiangqi/ivory-variant.htm;https://www.chessvariants.com/large.dir/ivorytower.html;ivory-2;2003 Fergus Duniho
