Checkers games;Laska;checkers/laska.htm;https://en.wikipedia.org/wiki/Lasca;laska;
Checkers games;Column Checkers;checkers/column-checkers.htm;https://en.wikipedia.org/wiki/Bashni;column-checkers;
Checkers games;80 Column Checkers;checkers/80-columns-checkers.htm;https://en.wikipedia.org/wiki/Bashni;80-cells-checkers;
Checkers games;Pioneer Checkers;checkers/pioneer-checkers.htm;https://en.wikipedia.org/wiki/Bashni;pioneer;
Checkers games;Column Samoedy;checkers/column-samoedy.htm;;column-checkers;
Checkers games;Frisian;checkers/frisian-columns.htm;;frisian-columns;
Checkers games;Tavrida;checkers/tavrida-8x10.htm;;adiuh-checkers-8x10;
Checkers games;Turkish Columns;checkers/turkish-columns.htm;;turkish-columns;
Checkers games;King's Checkers;kings-checkers.htm;;kings-checkers;
Checkers games;Magyar Dama;checkers/magyar-dama.htm;;magyar;

