Morris;Eight men's morris;morris/8-men-dyzym.htm;;8-men;
Morris;Les Pendus;morris/les-pendus.htm;;3-men;
Morris;Morabaraba;morris/morabaraba-dyzym.htm;;morabaraba;https://en.wikipedia.org/wiki/Morabaraba
Morris;Nine men's morris;morris/nine-man-morris-dyzym.htm;https://en.wikipedia.org/wiki/Nine_men%27s_morris;9-men;
Morris;Seven men's morris;morris/7-men-dyzym.htm;;7-men;
Morris;Six men's morris;morris/6-men-dyzym.htm;;6-men;
Morris;Three Men's Morris;morris/three-man.htm;;3-men;
Morris;Triangle;morris/triangle.htm;;triangle;
Morris;Twelve men's morris;morris/12-men.htm;;12-men;
Morris;Windmill;morris/windmill-dyzym.htm;;windmill;
Morris;3D Morris;morris/3d-morris.htm;;3d-morris;
